"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","v_prog","p2pfu","wt_rep_abil","time_to_pocap","bg_mut_rate","uninf_cells","surv_pfu","tot_pfu","pop_prop","imm_delay","imm_m","imm_sd","id","seed","nu"
"1","resistant",0,0,0,10,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,0,5000,0,9,-1.6,0.5,1,412,0.01
"2","susceptible",0,10,0,10,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,5000,5000,1,9,-1.6,0.5,1,412,0.01
"3","resistant",1,0,0,0.094,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,0,47,0,9,-1.6,0.5,1,412,0.01
"4","susceptible",1,0.094,0,0.094,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,47,47,1,9,-1.6,0.5,1,412,0.01
"5","resistant",2,0,0,0.01,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,443,0,5,0,9,-1.6,0.5,1,412,0.01
"6","susceptible",2,0.01,0,0.01,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,443,5,5,1,9,-1.6,0.5,1,412,0.01
"7","resistant",3,0,0,0,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,495,0,0,NA,9,-1.6,0.5,1,412,0.01
"8","susceptible",3,0,0,0,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,495,0,0,NA,9,-1.6,0.5,1,412,0.01
"9","resistant",0,0,0,10,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,0,5000,0,9,-1.6,0.5,10,5029,0.01
"10","susceptible",0,10,0,10,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,5000,5000,1,9,-1.6,0.5,10,5029,0.01
"11","resistant",1,0,0,0.086,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,0,43,0,9,-1.6,0.5,10,5029,0.01
"12","susceptible",1,0.086,0,0.086,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,43,43,1,9,-1.6,0.5,10,5029,0.01
"13","resistant",2,0,0,0.01,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,452,0,5,0,9,-1.6,0.5,10,5029,0.01
"14","susceptible",2,0.01,0,0.01,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,452,5,5,1,9,-1.6,0.5,10,5029,0.01
"15","resistant",3,0,0,0,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,495,0,0,NA,9,-1.6,0.5,10,5029,0.01
"16","susceptible",3,0,0,0,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,495,0,0,NA,9,-1.6,0.5,10,5029,0.01
"17","resistant",0,0,0,10,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,0,5000,0,9,-1.6,0.5,11,8841,0.01
"18","susceptible",0,10,0,10,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,5000,5000,1,9,-1.6,0.5,11,8841,0.01
"19","resistant",1,0,0,0.076,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,0,38,0,9,-1.6,0.5,11,8841,0.01
"20","susceptible",1,0.076,0,0.076,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,38,38,1,9,-1.6,0.5,11,8841,0.01
"21","resistant",2,0,0,0.006,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,458,0,3,0,9,-1.6,0.5,11,8841,0.01
"22","susceptible",2,0.006,0,0.006,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,458,3,3,1,9,-1.6,0.5,11,8841,0.01
"23","resistant",3,0,0,0,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,498,0,0,NA,9,-1.6,0.5,11,8841,0.01
"24","susceptible",3,0,0,0,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,498,0,0,NA,9,-1.6,0.5,11,8841,0.01
"25","resistant",0,0,0,10,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,0,5000,0,9,-1.6,0.5,12,6487,0.01
"26","susceptible",0,10,0,10,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,5000,5000,1,9,-1.6,0.5,12,6487,0.01
"27","resistant",1,0,0,0.082,10,0,500,5890.53018340631,29.0045596980904,0.000465842377578656,0,50000,0,0,41,0,9,-1.6,0.5,12,6487,0.01
