"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","subunits","v_prog","p2pfu","bg_mut_rate","wt_rep_abil","uninf_cells","surv_pfu","tot_pfu","pop_prop","check_sums"
"1","resistant",0,0,0,0.01,0.01,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,0,"29000","0",0.999999999999999
"2","susceptible",0,0.01,0,0.01,0.01,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,29000,"29000","1",0.999999999999999
"3","resistant",1,1.88347876904852e-08,1.88347876904852e-08,0.000941720549736572,0.01,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,0.0546208843024072,"2731.04421512036","2e-05",0.999999999999999
"4","susceptible",1,0.000941720549736572,1.88347876904852e-08,0.000941720549736572,0.01,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2730.98959423606,"2731.04421512036","0.99998",0.999999999999999
"5","resistant",0,0.001,0.001,0.009,0.009,0.001,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2900,"29000","0.1",0.999999999999999
"6","susceptible",0,0.009,0.001,0.009,0.009,0.001,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,26100,"29000","0.9",0.999999999999999
"7","resistant",1,0.00211914678522906,0.00211914678522906,0.000954001674919954,0.009,0.001,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,6145.52567716426,"8912.13053443213","0.689568633832387",0.999999999999999
"8","susceptible",1,0.000954001674919954,0.00211914678522906,0.000954001674919954,0.009,0.001,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2766.60485726787,"8912.13053443213","0.310431366167613",0.999999999999999
"9","resistant",0,0.002,0.002,0.008,0.008,0.002,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,5800,"29000","0.2",0.999999999999999
"10","susceptible",0,0.008,0.002,0.008,0.008,0.002,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,23200,"29000","0.8",0.999999999999999
"11","resistant",1,0.00421669383276997,0.00421669383276997,0.000942629224139315,0.008,0.002,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,12228.4121150329,"14962.0368650369","0.817295948762704",0.999999999999999
"12","susceptible",1,0.000942629224139315,0.00421669383276997,0.000942629224139315,0.008,0.002,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2733.62475000401,"14962.0368650369","0.182704051237296",0.999999999999999
"13","resistant",0,0.003,0.003,0.007,0.007,0.003,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,8700,"29000","0.3",0.999999999999999
"14","susceptible",0,0.007,0.003,0.007,0.007,0.003,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,20300,"29000","0.7",0.999999999999999
"15","resistant",1,0.00629262064350181,0.00629262064350181,0.0009076055415322,0.007,0.003,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,18248.5998661552,"20880.6559365986","0.873947634670325",0.999999999999999
"16","susceptible",1,0.0009076055415322,0.00629262064350181,0.0009076055415322,0.007,0.003,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2632.05607044338,"20880.6559365986","0.126052365329675",0.999999999999999
"17","resistant",0,0.004,0.004,0.006,0.006,0.004,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,11600,"29000","0.4",0.999999999999999
"18","susceptible",0,0.006,0.004,0.006,0.006,0.004,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,17400,"29000","0.6",0.999999999999999
"19","resistant",1,0.00834688786270298,0.00834688786270298,0.000848932981406804,0.006,0.004,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,24205.9748018386,"26667.8804479184","0.907682740257976",0.999999999999999
"20","susceptible",1,0.000848932981406804,0.00834688786270298,0.000848932981406804,0.006,0.004,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2461.90564607973,"26667.8804479184","0.0923172597420244",0.999999999999999
"21","resistant",0,0.005,0.005,0.005,0.005,0.005,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,14500,"29000","0.5",0.999999999999999
"22","susceptible",0,0.005,0.005,0.005,0.005,0.005,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,14500,"29000","0.5",0.999999999999999
"23","resistant",1,0.0103794561148353,0.0103794561148353,0.000766613908246823,0.005,0.005,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,30100.4227330224,"32323.6030669382","0.931221147304901",0.999999999999999
"24","susceptible",1,0.000766613908246823,0.0103794561148353,0.000766613908246823,0.005,0.005,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2223.18033391579,"32323.6030669382","0.0687788526950989",0.999999999999999
"25","resistant",0,0.006,0.006,0.004,0.004,0.006,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,17400,"29000","0.6",0.999999999999999
"26","susceptible",0,0.004,0.006,0.004,0.004,0.006,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,11600,"29000","0.4",0.999999999999999
"27","resistant",1,0.0123902860035408,0.0123902860035408,0.000660650696716285,0.004,0.006,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,35931.8294102682,"37847.7164307454","0.949379058998633",0.999999999999999
"28","susceptible",1,0.000660650696716285,0.0123902860035408,0.000660650696716285,0.004,0.006,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,1915.88702047723,"37847.7164307454","0.0506209410013668",0.999999999999999
"29","resistant",0,0.007,0.007,0.003,0.003,0.007,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,20300,"29000","0.7",0.999999999999999
"30","susceptible",0,0.003,0.007,0.003,0.003,0.007,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,8700,"29000","0.3",0.999999999999999
"31","resistant",1,0.0143793381116378,0.0143793381116378,0.000531045731664383,0.003,0.007,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,41700.0805237497,"43240.1131455764","0.96438416762135",0.999999999999999
"32","susceptible",1,0.000531045731664383,0.0143793381116378,0.000531045731664383,0.003,0.007,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,1540.03262182671,"43240.1131455764","0.03561583237865",0.999999999999999
"33","resistant",0,0.008,0.008,0.002,0.002,0.008,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,23200,"29000","0.8",0.999999999999999
"34","susceptible",0,0.002,0.008,0.002,0.002,0.008,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,5800,"29000","0.2",0.999999999999999
"35","resistant",1,0.016346573001118,0.016346573001118,0.000377801408130332,0.002,0.008,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,47405.0617032421,"48500.6857868201","0.977410132128983",0.999999999999999
"36","susceptible",1,0.000377801408130332,0.016346573001118,0.000377801408130332,0.002,0.008,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,1095.62408357796,"48500.6857868201","0.0225898678710167",0.999999999999999
"37","resistant",0,0.009,0.009,0.001,0.001,0.009,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,26100,"29000","0.9",0.999999999999999
"38","susceptible",0,0.001,0.009,0.001,0.001,0.009,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2900,"29000","0.1",0.999999999999999
"39","resistant",1,0.0182919512131425,0.0182919512131425,0.000200920131348188,0.001,0.009,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,53046.6585181131,"53629.3268990229","0.989135265821873",0.999999999999999
"40","susceptible",1,0.000200920131348188,0.0182919512131425,0.000200920131348188,0.001,0.009,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,582.668380909745,"53629.3268990229","0.0108647341781267",0.999999999999999
"41","resistant",0,0.01,0.01,0,0,0.01,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,29000,"29000","1",0.999999999999999
"42","susceptible",0,0,0.01,0,0,0.01,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,0,"29000","0",0.999999999999999
"43","resistant",1,0.0202154332680385,0.0202154332680385,4.04316751695804e-07,0,0.01,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,58624.7564773117,"58625.9289958916","0.99998",0.999999999999999
"44","susceptible",1,4.04316751695804e-07,0.0202154332680385,4.04316751695804e-07,0,0.01,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,1.17251857991783,"58625.9289958916","2e-05",0.999999999999999
"45","resistant",0,0,0,0.0272270130807791,0.0272270130807791,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,0,"78958.3379342595","0",0.999999999999998
