"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","v_prog","p2pfu","wt_rep_abil","time_to_pocap","bg_mut_rate","uninf_cells","surv_pfu","tot_pfu","pop_prop","imm_delay","imm_m","imm_sd","id","seed","treatment"
"1","resistant",0,0,0,1,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"9",10000,3777,0,"10098.2346083922","0",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated 100x Less Stringent"
"2","susceptible",0,1,0,1,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"9",10000,3777,10098.2346083922,"10098.2346083922","1",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated 100x Less Stringent"
"3","resistant",0.333333333333333,0.0120813196297312,0.0120813196297312,127.038541858977,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"9",10000,3777,122,"1282987","9.50905971767446e-05",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated 100x Less Stringent"
"4","susceptible",0.333333333333333,127.038541858977,0.0120813196297312,127.038541858977,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"9",10000,3777,1282865,"1282987","0.999904909402823",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated 100x Less Stringent"
"5","resistant",0.666666666666667,0.0389176935613473,0.0389176935613473,202.825650168382,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"9",10000,0,393,"2048574","0.000191840763379795",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated 100x Less Stringent"
"6","susceptible",0.666666666666667,202.825650168382,0.0389176935613473,202.825650168382,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"9",10000,0,2048181,"2048574","0.99980815923662",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated 100x Less Stringent"
"7","resistant",1,0.0597134076780978,0.0597134076780978,202.981518997047,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"9",10000,0,603,"2050358","0.000294094982437213",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated 100x Less Stringent"
"8","susceptible",1,202.981518997047,0.0597134076780978,202.981518997047,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"9",10000,0,2049755,"2050358","0.999705905017563",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated 100x Less Stringent"
"9","resistant",1.33333333333333,0.0821925843662043,0.0821925843662043,203.088270329513,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"9",10000,0,830,"2051663","0.000404549870032262",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated 100x Less Stringent"
"10","susceptible",1.33333333333333,203.088270329513,0.0821925843662043,203.088270329513,1,0,10098.2346083922,5890.53018340631,29.0045596980904,0.0465842377578656,"9",10000,0,2050833,"2051663","0.999595450129968",9.29889379382767,-1.37736165630994,0.483187605893751,"1","2","Simulated 100x Less Stringent"
