"subunits","prob_surv","fit_type"
0,0.000465842377578656,"logistic"
1,0.0036055823410379,"logistic"
2,0.00693452243397873,"logistic"
3,0.0104633734900771,"logistic"
4,0.0142033650791134,"logistic"
5,0.0181662593354608,"logistic"
6,0.0223643635592396,"logistic"
7,0.0268105413099881,"logistic"
8,0.0315182216812662,"logistic"
9,0.036501406411448,"logistic"
10,0.0417746744513032,"logistic"
11,0.0473531835730949,"logistic"
12,0.0532526685692555,"logistic"
13,0.0594894355517272,"logistic"
14,0.0660803518264427,"logistic"
15,0.0730428307819353,"logistic"
16,0.0803948111976791,"logistic"
17,0.0881547303475823,"logistic"
18,0.0963414902484168,"logistic"
19,0.104974416383372,"logistic"
20,0.114073208219096,"logistic"
21,0.123657880832441,"logistic"
22,0.133748696972798,"logistic"
23,0.144366088909622,"logistic"
24,0.155530569454982,"logistic"
25,0.167262631610204,"logistic"
26,0.179582636366422,"logistic"
27,0.192510688293609,"logistic"
28,0.206066498683728,"logistic"
29,0.220269236172988,"logistic"
30,0.235137364957466,"logistic"
31,0.250688470936377,"logistic"
32,0.266939076368371,"logistic"
33,0.283904443907439,"logistic"
34,0.30159837119434,"logistic"
35,0.320032977513569,"logistic"
36,0.339218484379686,"logistic"
37,0.359162992283833,"logistic"
38,0.379872256202868,"logistic"
39,0.401349462839684,"logistic"
40,0.423595012911934,"logistic"
41,0.446606312124132,"logistic"
42,0.470377574730249,"logistic"
43,0.494899643805093,"logistic"
44,0.52015983247716,"logistic"
45,0.546141790418252,"logistic"
46,0.572825399821975,"logistic"
47,0.600186704922592,"logistic"
48,0.628197878798953,"logistic"
49,0.656827230770665,"logistic"
50,0.68603925712534,"logistic"
51,0.715794737222073,"logistic"
52,0.746050876208585,"logistic"
53,0.77676149468468,"logistic"
54,0.807877264665845,"logistic"
55,0.83934599017577,"logistic"
56,0.871112929757555,"logistic"
57,0.9031211571754,"logistic"
58,0.935311955618002,"logistic"
59,0.96762523984779,"logistic"
60,1,"logistic"
