"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","subunits","v_prog","p2pfu","bg_mut_rate","wt_rep_abil","uninf_cells","surv_pfu","tot_pfu","pop_prop","check_sums"
"1","resistant",0,0,0,0.01,0.01,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,0,"29000","0",0.999999999999999
"2","susceptible",0,0.01,0,0.01,0.01,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,29000,"29000","1",0.999999999999999
"3","resistant",1,1.88347876904852e-08,1.88347876904852e-08,0.000941720549736572,0.01,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,0.0546208843024072,"2731.04421512036","2e-05",0.999999999999999
"4","susceptible",1,0.000941720549736572,1.88347876904852e-08,0.000941720549736572,0.01,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2730.98959423606,"2731.04421512036","0.99998",0.999999999999999
"5","resistant",0,0.001,0.001,0.009,0.009,0.001,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2900,"29000","0.1",0.999999999999999
"6","susceptible",0,0.009,0.001,0.009,0.009,0.001,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,26100,"29000","0.9",0.999999999999999
"7","resistant",1,0.201463896463325,0.201463896463325,0.00106936719143728,0.009,0.001,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,584245.299743642,"587346.46459881","0.994720041675425",0.999999999999999
"8","susceptible",1,0.00106936719143728,0.201463896463325,0.00106936719143728,0.009,0.001,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,3101.16485516812,"587346.46459881","0.00527995832457489",0.999999999999999
"9","resistant",0,0.002,0.002,0.008,0.008,0.002,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,5800,"29000","0.2",0.999999999999999
"10","susceptible",0,0.008,0.002,0.008,0.008,0.002,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,23200,"29000","0.8",0.999999999999999
"11","resistant",1,0.403081068062729,0.403081068062729,0.0011487239482607,0.008,0.002,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,1168935.09738191,"1172266.39683187","0.997158240260952",0.999999999999999
"12","susceptible",1,0.0011487239482607,0.403081068062729,0.0011487239482607,0.008,0.002,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,3331.29944995604,"1172266.39683187","0.00284175973904832",0.999999999999999
"13","resistant",0,0.003,0.003,0.007,0.007,0.003,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,8700,"29000","0.3",0.999999999999999
"14","susceptible",0,0.007,0.003,0.007,0.007,0.003,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,20300,"29000","0.7",0.999999999999999
"15","resistant",1,0.604851586159603,0.604851586159603,0.00117975158559748,0.007,0.003,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,1754069.59986285,"1757490.87946108","0.998053315873092",0.999999999999999
"16","susceptible",1,0.00117975158559748,0.604851586159603,0.00117975158559748,0.007,0.003,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,3421.27959823269,"1757490.87946108","0.00194668412690812",0.999999999999999
"17","resistant",0,0.004,0.004,0.006,0.006,0.004,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,11600,"29000","0.4",0.999999999999999
"18","susceptible",0,0.006,0.004,0.006,0.006,0.004,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,17400,"29000","0.6",0.999999999999999
"19","resistant",1,0.806775503279623,0.806775503279623,0.00116241085779341,0.006,0.004,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2339648.95951091,"2343019.95099851","0.998561262149661",0.999999999999999
"20","susceptible",1,0.00116241085779341,0.806775503279623,0.00116241085779341,0.006,0.004,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,3370.99148760088,"2343019.95099851","0.00143873785033896",0.999999999999999
"21","resistant",0,0.005,0.005,0.005,0.005,0.005,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,14500,"29000","0.5",0.999999999999999
"22","susceptible",0,0.005,0.005,0.005,0.005,0.005,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,14500,"29000","0.5",0.999999999999999
"23","resistant",1,1.00885287194751,1.00885287194751,0.00109666250815123,0.005,0.005,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2925673.32864779,"2928853.64992143","0.998914141280592",0.999999999999999
"24","susceptible",1,0.00109666250815123,1.00885287194751,0.00109666250815123,0.005,0.005,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,3180.32127363856,"2928853.64992143","0.00108585871940849",0.999999999999999
"25","resistant",0,0.006,0.006,0.004,0.004,0.006,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,17400,"29000","0.6",0.999999999999999
"26","susceptible",0,0.004,0.006,0.004,0.004,0.006,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,11600,"29000","0.4",0.999999999999999
"27","resistant",1,1.21108374468707,1.21108374468707,0.000982467268932344,0.004,0.006,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,3512142.85959249,"3514992.01467239","0.999189427723303",0.999999999999999
"28","susceptible",1,0.000982467268932344,1.21108374468707,0.000982467268932344,0.004,0.006,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2849.1550799038,"3514992.01467239","0.000810572276696721",0.999999999999999
"29","resistant",0,0.007,0.007,0.003,0.003,0.007,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,20300,"29000","0.7",0.999999999999999
"30","susceptible",0,0.003,0.007,0.003,0.003,0.007,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,8700,"29000","0.3",0.999999999999999
"31","resistant",1,1.4134681740211,1.4134681740211,0.000819785861358587,0.003,0.007,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,4099057.70466119,"4101435.08365913","0.999420354351721",0.999999999999999
"32","susceptible",1,0.000819785861358587,1.4134681740211,0.000819785861358587,0.003,0.007,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2377.3789979399,"4101435.08365913","0.000579645648278529",0.999999999999999
"33","resistant",0,0.008,0.008,0.002,0.002,0.008,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,23200,"29000","0.8",0.999999999999999
"34","susceptible",0,0.002,0.008,0.002,0.002,0.008,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,5800,"29000","0.2",0.999999999999999
"35","resistant",1,1.61600621247148,1.61600621247148,0.000608578995613972,0.002,0.008,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,4686418.01616729,"4688182.89525457","0.999623547304635",0.999999999999999
"36","susceptible",1,0.000608578995613972,1.61600621247148,0.000608578995613972,0.002,0.008,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,1764.87908728052,"4688182.89525457","0.00037645269536454",0.999999999999999
"37","resistant",0,0.009,0.009,0.001,0.001,0.009,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,26100,"29000","0.9",0.999999999999999
"38","susceptible",0,0.001,0.009,0.001,0.001,0.009,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,2900,"29000","0.1",0.999999999999999
"39","resistant",1,1.81869791255909,1.81869791255909,0.000348807370846431,0.001,0.009,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,5274223.94642138,"5275235.48779683","0.999808247162085",0.999999999999999
"40","susceptible",1,0.000348807370846431,1.81869791255909,0.000348807370846431,0.001,0.009,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,1011.54137545465,"5275235.48779683","0.000191752837914941",0.999999999999999
"41","resistant",0,0.01,0.01,0,0,0.01,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,29000,"29000","1",0.999999999999999
"42","susceptible",0,0,0.01,0,0,0.01,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,0,"29000","0",0.999999999999999
"43","resistant",1,2.02154332680385,2.02154332680385,4.04316751695804e-05,0,0.01,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,5862475.64773117,"5862592.89958916","0.99998",0.999999999999999
"44","susceptible",1,4.04316751695804e-05,2.02154332680385,4.04316751695804e-05,0,0.01,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2871144.51292234,117.251857991783,"5862592.89958916","2e-05",0.999999999999999
"45","resistant",0,0,0,0.0272270130807791,0.0272270130807791,0,2900000,"60",203.17081752289,1,50000,0.000465842377578656,2822106.85927329,0,"78958.3379342595","0",0.999999999999998
