"","type","time","moi_type","moi_res","moi_wt","init_wt","init_mut","c_pop","v_prog","p2pfu","wt_rep_abil","time_to_pocap","bg_mut_rate","uninf_cells","surv_pfu","tot_pfu","pop_prop","imm_delay","imm_m","imm_sd","id","seed","treatment"
"1","resistant",0,0,0,1,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,13783,0,"37040.9344998172","0",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"2","susceptible",0,1,0,1,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,13783,37040.9344998172,"37040.9344998172","1",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"3","resistant",0.333333333333333,0.00251073579151895,0.00251073579151895,127.649236280022,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,13783,93,"4728340","1.96686363501779e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"4","susceptible",0.333333333333333,127.649236280022,0.00251073579151895,127.649236280022,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,13783,4728247,"4728340","0.99998033136365",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"5","resistant",0.666666666666667,0.00839611646411175,0.00839611646411175,203.095253982783,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,311,"7523149","4.1339072242222e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"6","susceptible",0.666666666666667,203.095253982783,0.00839611646411175,203.095253982783,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,7522838,"7523149","0.999958660927758",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"7","resistant",1,0.0125536789575947,0.0125536789575947,203.221411707017,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,465,"7527976","6.17695911889198e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"8","susceptible",1,203.221411707017,0.0125536789575947,203.221411707017,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,7527511,"7527976","0.999938230408811",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"9","resistant",1.33333333333333,0.0166302499739319,0.0166302499739319,203.060751613519,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,616,"7522176","8.18911974407405e-05",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"10","susceptible",1.33333333333333,203.060751613519,0.0166302499739319,203.060751613519,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,7521560,"7522176","0.999918108802559",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"11","resistant",1.66666666666667,0.0207068209902692,0.0207068209902692,203.103218144702,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,767,"7523900","0.000101941812092133",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"12","susceptible",1.66666666666667,203.103218144702,0.0207068209902692,203.103218144702,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,7523133,"7523900","0.999898058187908",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"13","resistant",2,0.0253233351875782,0.0253233351875782,203.153270877578,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,938,"7525925","0.000124635842105788",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"14","susceptible",2,203.153270877578,0.0253233351875782,203.153270877578,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,7524987,"7525925","0.999875364157894",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"15","resistant",2.33333333333333,0.0288599630229436,0.0288599630229436,203.182022851965,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,1069,"7527121","0.000142019770905769",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"16","susceptible",2.33333333333333,203.182022851965,0.0288599630229436,203.182022851965,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,7526052,"7527121","0.999857980229094",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"17","resistant",2.66666666666667,0.0329095368802322,0.0329095368802322,203.158265352002,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,1219,"7526391","0.000161963416463482",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"18","susceptible",2.66666666666667,203.158265352002,0.0329095368802322,203.158265352002,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,7525172,"7526391","0.999838036583537",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
"19","resistant",3,2.69971590485908e-05,2.69971590485908e-05,0.101752292454139,1,0,37040.9344998172,203.17081752289,1,0.000465842377578656,"9",50000,1,1,"3770","0.00026525198938992",9.3725661950089,-1.42421792769631,0.45971955810273,"1","2","Simulated Pocapavir"
